date,ticker,price
2024-01-01,AAPL,150.34150716935918
2024-01-02,AAPL,148.7753311961975
2024-01-03,AAPL,147.18789443757473
2024-01-04,AAPL,147.76908593697743
2024-01-05,AAPL,148.31870502353723
2024-01-06,AAPL,148.45895094125706
2024-01-07,AAPL,149.51747409575538
2024-01-08,AAPL,149.9944512690681
2024-01-09,AAPL,150.25938740525658
2024-01-10,AAPL,151.46808020202872
2024-01-11,AAPL,151.22649503676396
2024-01-12,AAPL,151.47297980337345
2024-01-13,AAPL,148.998627564126
2024-01-14,AAPL,148.48213831112827
2024-01-15,AAPL,146.40146418239038
2024-01-16,AAPL,147.45435908166098
2024-01-17,AAPL,144.90473023529208
2024-01-18,AAPL,145.247669252035
2024-01-19,AAPL,143.40583798548465
2024-01-20,AAPL,143.97518977667056
